feature,feature_type,mean_abs_shap,mean_shap,spearman_feature_value_vs_shap,interpretation_for_y
ECFP4_count_bit_706,ECFP4_count,0.0022274645,0.0011446831,0.3167661427774282,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_926,ECFP4_count,0.0022132776,-0.00012276403,-0.03797161839465292,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1944,ECFP4_count,0.0021771824,0.0011217657,0.24601795817511996,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1747,ECFP4_count,0.0021675923,0.0011788558,0.42273093068129547,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1057,ECFP4_count,0.002120521,3.7623453e-05,-0.17254783476426627,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_PEOE_VSA3,RDKit2D,0.002116318,0.00015793914,-0.18843154040567148,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_fr_amide,RDKit2D,0.002090816,0.00033753578,-0.7032892123026339,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_389,ECFP4_count,0.0020818561,0.00024278721,0.633938274709032,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_694,ECFP4_count,0.0020657592,0.0012508008,0.6468302975902879,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_Ipc,RDKit2D,0.0020575973,0.00072091364,-0.033904324130858005,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_fr_epoxide,RDKit2D,0.0020142135,0.0011656585,0.32490990046430634,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_807,ECFP4_count,0.0019989002,-0.0009270194,-0.6961042018591702,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1171,ECFP4_count,0.0019962902,0.00030764542,0.6747484589992816,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_147,ECFP4_count,0.0019653416,0.00031107327,-0.47084834613541177,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1189,ECFP4_count,0.0019541862,-0.000110562556,0.14934486221008783,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1385,ECFP4_count,0.0019319544,0.00063524244,-0.37824919567041676,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_SMR_VSA9,RDKit2D,0.0018613248,4.370055e-06,0.5358543792063767,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1162,ECFP4_count,0.0018450039,-0.0010810394,-0.619862360447606,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1257,ECFP4_count,0.0018399509,0.0011994469,0.733693845863038,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1912,ECFP4_count,0.0018201529,0.0007213808,0.18992735737247105,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_fr_lactam,RDKit2D,0.0017897205,-0.00090702844,-0.20381960867369905,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
RDKit2D_NumSpiroAtoms,RDKit2D,0.0017512621,-1.305709e-05,0.4761024437615696,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_102,ECFP4_count,0.0017093604,0.001178946,-0.0527761380552487,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_1004,ECFP4_count,0.001699473,9.3219256e-05,0.3516403996059983,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_920,ECFP4_count,0.0016929944,-0.0003267398,0.1294575878442412,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1088,ECFP4_count,0.0016843965,-0.00024163154,0.605388945001115,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_1405,ECFP4_count,0.0016683975,0.0014232763,-0.12579133325847386,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_787,ECFP4_count,0.0016595791,0.00049527286,0.37230273364964656,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
ECFP4_count_bit_904,ECFP4_count,0.0016567333,0.0010689016,0.2907629554898815,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_fr_Al_OH,RDKit2D,0.0016558322,-0.00088143203,-0.7657488769156425,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
ECFP4_count_bit_276,ECFP4_count,0.0016431756,0.0005546865,0.2669388117354403,"Higher feature value tends to increase predicted y, indicating higher toxicity / lower LD50"
RDKit2D_NumAromaticRings,RDKit2D,0.0016233118,0.001160852,-0.7776744609318517,"Higher feature value tends to decrease predicted y, indicating lower toxicity / higher LD50"
